"NETFLIX, INC. (NASDAQ: NFLX)",,,,,,,,
Three-Year Historical Income Statement Analysis,,,,,,,,
"($ in Millions, Fiscal Year Ended Dec 31)",,,,,,,,
,,,,,,,,
Line Item ($ in Millions),2023A,2024A,2025A,,,,,
Revenues,"33,723 ","39,001 ","45,183 ",,,,,
Cost of Revenues,"(19,715)","(21,038)","(23,275)",,,,,
Gross Profit,"14,008 ","17,963 ","21,908 ",,,,,
Sales and marketing,"(2,658)","(2,918)","(3,301)",,,,,
Technology and development,"(2,676)","(2,925)","(3,391)",,,,,
General and administrative,"(1,720)","(1,702)","(1,888)",,,,,
Operating Income,"6,954 ","10,418 ","13,328 ",,,,,
Interest expense,(700),(719),(777),,,,,
Interest and other income (expense),(49),267 ,172 ,,,,,
Income before income taxes,"6,205 ","9,966 ","12,723 ",,,,,
Provision for income taxes,(797),"(1,254)","(1,741)",,,,,
Net Income,"5,408 ","8,712 ","10,982 ",,,,,
,,,,,,,,
Net Margin %,16.0%,22.3%,24.3%,,,,,
,,,,,,,,
,,,,,,,,
Color Code Logic,,,,,,,,
Blue Text: Hardcodes of Values extracted from SEC filings,,,,,,,,
"Black Text: Calculations of Subtotals, formulas, and ratios",,,,,,,,
,,,,,,,,
